Borough,Neighborhood,Cuisine
The Bronx,Bedford Park,Mexican%Puerto Rican%Dominican%Korean
The Bronx,Belmont ,Italian%Albanian 
The Bronx,City Island ,Italian%Seafood
The Bronx,Morris Park,Italian%Albanian
The Bronx,Norwood,Filipino 
The Bronx,Riverdale ,Jewish
The Bronx,South Bronx ,Puerto Rican%Dominican
The Bronx,Wakefield,Jamaican%West Indian
The Bronx,Woodlawn ,Irish
Queens,Astoria,Greek%Italian%Eastern European%Brazilian%Egyptian%Arabic
Queens,Bellerose ,Indian and Pakistani
Queens,Flushing ,Chinese and Korean
Queens,Forest Hills,Jewish%Russian and Uzbek
Queens,Howard Beach,Italian
Queens,Ozone Park,Italian
Queens,Glendale,German%Polish
Queens,Jackson Heights,Indian%Pakistani%Bangladeshi%Colombian%Ecuadorian%Peruvian%Korean%Filipino%Mexican
Queens,Jamaica ,Bangladeshi%Caribbean%African-American%African%Creole
Queens,Little Neck,Arab%Chinese%Italian
Queens,Richmond Hill,Indian%Guyanese%West Indian%Pakistani%Bangladeshi
Queens,The Rockaways,Irish%Jewish
Queens,Woodhaven , Irish%Dominican%Mexican%Guyanese
Queens,Woodside,Filipino%Irish%Mexican%Romanian
Brooklyn,Bay Ridge,Irish%Italian%Greek%Turkish%Lebanese%Palestinian%Yemeni%Arabic
Brooklyn,Bedford-Stuyvesant,African-American%Jamaican%Trinidadian%Puerto Rican%West Indian
Brooklyn,Bensonhurst,Italian%Chinese%Turkish%Russian%Mexican%Uzbek
Brooklyn,Borough Park ,Jewish%Italian%Mexican%Chinese
Brooklyn,Brighton Beach,Russian%Georgian%Turkish%Pakistani%Ukrainian
Brooklyn,Bushwick ,Puerto Rican%Mexican%Dominican%Ecuadorian
Brooklyn,Canarsie,Jamaican%West Indian%African-American
Brooklyn,Carroll Gardens,Italian
Brooklyn,Crown Heights,Jamaican%West Indian%Jewish
Brooklyn,East New York ,African-American%Dominican%Puerto Rican
Brooklyn,Flatbush,Jamaican%Haitian%Creole
Brooklyn,Greenpoint,Polish%Ukrainian
Brooklyn,Kensington,Bengali%Pakistani%Mexican%Uzbek%Polish
Brooklyn,Midwood ,Jewish%Italian%Russian%Pakistani
Brooklyn,Park Slope ,Italian%Irish%French%Puerto Rican
Brooklyn,Red Hook ,Puerto Rican%African-American%Italian
Brooklyn,Sheepshead Bay ,Seafood%Russian%Italian
Brooklyn,Sunset Park, Puerto Rican%Chinese%Arab%Mexican and Italian
Brooklyn,Williamsburg,Italian%Jewish%Dominican and Puerto Rican
Staten Island,Port Richmond ,Mexican%Indian%Italian
Staten Island,Rossville,Italian%Russian%Arab and Polish
Staten Island,Tompkinsville ,Italian%Sri Lankan%Pakistani%Indian
Manhattan,Chinatown ,Chinese and Vietnamese
Manhattan,East Harlem,Puerto Rican%Mexican%Dominican%Chinese-Cuban and Italian
Manhattan,East Village,Japanese%Korean%Indian and Ukrainian
Manhattan,Greenwich Village,Italian
Manhattan,Harlem,Italian%African-American%Latin American%West Indian%West African
Manhattan,Koreatown ,Korean
Manhattan,Little Italy ,Italian
Manhattan,Lower East Side , Puerto Rican%Jewish%Italian%Latin American
Manhattan,Murray Hill,Indian%Pakistani and Bangladeshi
Manhattan,Washington Heights ,Dominican%Puerto Rican%Italian and Jewish
Manhattan,Upper East Side , German%Czech%Hungarian
